Rok,Miesiąc,Euro 0 lub nieokreślona,Euro I,Euro II,Euro III,Euro IV,Euro V,Euro VI
2023,Styczeń,7274,1029,5970,21054,34461,189791,207496
2023,Luty,11369,960,5740,20635,31699,159713,237398
2023,Marzec,11811,1141,6480,22483,33693,163625,248010
2023,Kwieceń,11790,1125,6460,22303,33043,159253,243568
2023,Maj,12775,1218,6666,22852,33860,161377,247522
2023,Czerwiec,13189,1221,6767,23114,34105,163015,249825
2023,Lipec,12360,1138,6383,21767,32676,158503,248230
2023,Sierpień,11763,1144,6305,21550,32465,158023,251090
2023,Wrzesień,11916,1208,6473,22136,33182,160538,254078
2023,Październik,11723,1162,6246,22087,32929,160450,261679
2023,Listopad,11039,1008,5807,20538,31317,157366,262825
2023,Grudzień,10363,862,5058,18685,29213,151371,259752
